seq,match,half,n_frames,label,hota,deta,assa,loca,off_hota,off_deta,off_assa,off_loca,ids,gt_ids
CLPD-118578-1st,118578,1st,750,30s,11.895704806462259,3.056902733112712,46.37978006507588,82.537622685137,55.675689476569154,50.777993050960404,61.34305664725414,84.68931696342614,27,22
CLPD-118578-1st,118578,1st,1500,1min,13.321381538239146,4.3141576742315175,41.21616092718688,83.42149973567817,54.278319759584924,51.308098919670684,57.8202064853912,85.06284919485928,30,22
CLPD-118578-1st,118578,1st,3000,2min,17.277803449765845,6.471631066228846,46.15194097986898,88.50564485800918,57.36086973567161,57.10603002460506,57.868195922199085,86.88158242222164,40,22
CLPD-118578-1st,118578,1st,7500,5min,14.886193812661267,7.7131552481856005,28.75045941860583,85.95778278151003,36.426743746270375,51.432750436481555,25.983775254376408,85.22494694452375,59,22
CLPD-118578-1st,118578,1st,15000,10min,11.900963331299193,7.9006524504731415,17.946975655124998,85.13484764327642,27.26595561016334,51.51905366342449,14.533456820992994,84.48832032957398,78,22
CLPD-118578-1st,118578,1st,30000,20min,12.868451559536389,9.849853742598134,16.838408135126663,85.02679366933572,23.928306393906663,49.498946229760364,11.669902985755591,83.80952292413664,91,22
CLPD-118578-1st,118578,1st,70350,full,13.360120726803675,10.465766935658998,17.080847526769617,85.32756048072599,23.00464472924637,49.43404585970944,10.800169858447376,84.14817212674986,123,22
CLPD-118578-2nd,118578,2nd,750,30s,18.023937917043984,5.8779534872722214,55.28715824432617,85.81145401400846,53.1672814031792,50.45913292783894,56.44904806502918,84.6304186483103,44,22
CLPD-118578-2nd,118578,2nd,1500,1min,13.447985905876072,5.08320083765558,35.67465024618212,83.91368187187105,39.57252986236945,39.934942080714485,39.660151516217105,82.5982373282484,50,22
CLPD-118578-2nd,118578,2nd,3000,2min,14.27954535350217,5.92147157953105,34.48265376246705,83.63950081345631,38.285180241958386,43.296649700989306,34.20846278074884,81.75265132390346,68,22
CLPD-118578-2nd,118578,2nd,7500,5min,15.61820212514922,9.035357875763522,27.007168770703338,86.63363660280528,30.781102262228536,47.02363282556598,20.403085981789555,83.75126587454736,82,22
CLPD-118578-2nd,118578,2nd,15000,10min,13.21707137224174,9.013652030520591,19.387068960600065,84.72896107755923,24.25041133954592,45.874425415761586,12.964759373337245,82.50220590819633,95,22
CLPD-118578-2nd,118578,2nd,30000,20min,10.458512795186245,8.269320272179936,13.232559763662104,85.06379094772704,21.930696535596397,46.27123714055812,10.604613695208412,82.42199564313191,123,25
CLPD-118578-2nd,118578,2nd,70975,full,10.222632321928328,8.162654292685552,12.8042750133673,84.88029466630177,18.485129202967347,45.709588188360684,7.591985321813994,82.284651302875,195,30
CLPD-128057-1st,128057,1st,750,30s,36.91363897162261,17.127988367715098,79.70302884745637,88.99033017164983,75.80764493857215,73.54969153822259,78.3991759171255,89.58281510854806,32,22
CLPD-128057-1st,128057,1st,1500,1min,30.83702037143298,15.32598728668193,62.09921957791206,86.49586674844134,60.53278769875634,60.37918944940458,60.96871593927607,86.53220215725798,47,22
CLPD-128057-1st,128057,1st,3000,2min,30.07088031682536,15.949552060309276,56.70559344397334,86.77941206791952,54.80580480168305,62.757442251250254,48.071424817162196,86.26972796482093,55,22
CLPD-128057-1st,128057,1st,7500,5min,25.11349573276461,16.54402010423759,38.13426491388771,88.04759577562751,37.18364019749615,51.839274728043314,26.92992929326631,84.87820454079905,91,22
CLPD-128057-1st,128057,1st,15000,10min,20.18948049669782,15.092275547018422,27.026047173819066,87.68068499062439,30.862233396248072,51.62991176961017,18.606342322204032,85.26030717912671,119,22
CLPD-128057-1st,128057,1st,30000,20min,18.784801807196068,14.982069377775996,23.56297876860826,86.9669562813297,29.084544466029953,52.9827430040944,16.14559903855628,85.03749497527792,170,22
CLPD-128057-1st,128057,1st,67625,full,18.09373844223864,14.672497093965763,22.319122012520275,86.83648621206898,26.035793283041862,51.20869164657502,13.409170263794307,84.67703727681922,345,23
CLPD-128057-2nd,128057,2nd,750,30s,24.897896393095873,7.1786395561674325,86.72773450954455,87.79441218353546,65.51150042676191,59.457080054505454,72.64655683792179,87.7397443897538,29,22
CLPD-128057-2nd,128057,2nd,1500,1min,24.644380474980647,7.349442966109669,83.15327074714807,87.00579620132285,61.40724962173051,55.16662387733516,68.96829595415142,86.50590858877125,34,22
CLPD-128057-2nd,128057,2nd,3000,2min,21.872689763681503,6.771568239237478,71.3016065798015,85.99479273784199,47.02846879211949,44.74082554295083,50.28279331098333,83.75365919591596,58,22
CLPD-128057-2nd,128057,2nd,7500,5min,26.045751807377606,9.825193307616232,69.23080370429776,88.25571237904471,51.251869270130456,51.28974635328283,51.925773551358446,85.72072812123956,81,22
CLPD-128057-2nd,128057,2nd,15000,10min,20.1214246093109,8.457073865363233,47.99167219983177,87.09218448788182,38.777448384025064,49.60060198161336,30.818735446896078,84.70512102573001,123,22
CLPD-128057-2nd,128057,2nd,30000,20min,16.334689958055115,8.736915782297313,30.56991075765862,87.32113035386331,33.67088047628988,52.55741344139216,21.819416150117764,85.28285195246814,191,22
CLPD-128057-2nd,128057,2nd,70350,full,12.88988794603812,7.749762543454176,21.47646441196661,86.6688150475618,25.080208178887347,50.82051415145881,12.524342002793984,84.84049465250062,293,23
CLPD-128058-1st,128058,1st,750,30s,24.684283773537796,8.400965764689238,72.64052297979757,89.51942782313893,70.38339158262009,68.17172725824128,72.95159220556292,89.15118564984033,27,22
CLPD-128058-1st,128058,1st,1500,1min,19.20618252849487,6.851724376210331,53.924437585361,84.78916677696482,54.958044217904536,51.24239992994502,59.20422666850298,86.12250673815961,31,22
CLPD-128058-1st,128058,1st,3000,2min,16.223016419207013,6.438642477833369,40.929544062597,82.859422604763,44.8039603266207,43.829650241497845,46.23261655470087,83.90865944633931,46,22
CLPD-128058-1st,128058,1st,7500,5min,15.525227783995152,5.349460235984197,45.245398248024316,84.42114368383923,46.50574377620793,50.092459259119806,43.629584651528205,85.35162035462854,60,22
CLPD-128058-1st,128058,1st,15000,10min,11.83911475070845,5.709988019659827,24.693115793280697,83.1034390217428,33.56538982495139,43.80564279829367,26.135541513375486,83.22585939333428,78,22
CLPD-128058-1st,128058,1st,30000,20min,12.61095783981423,8.770491447164645,18.153761576553197,84.24747281826225,27.48420776575641,45.10524250347225,16.909814875719935,83.45868769910064,100,22
CLPD-128058-1st,128058,1st,68975,full,12.729886491303672,9.597281554202553,16.907864163178225,85.73673004585348,25.88681951600918,49.145936420892525,13.759041096250826,84.29687303807036,133,23
CLPD-128058-2nd,128058,2nd,750,30s,31.52383229661309,13.15823611523865,75.6565301526468,86.8705019437883,61.05617410968376,57.50044669523321,65.57605987022946,85.08734346925874,26,22
CLPD-128058-2nd,128058,2nd,1500,1min,29.380188773562733,12.425371131050692,69.51380381530231,86.24727287532154,55.19947118109697,54.41529302435594,56.55471544142369,84.88481664062014,34,22
CLPD-128058-2nd,128058,2nd,3000,2min,29.953253255264485,13.29887785188493,67.57106069417522,85.99846224590166,54.598877357164056,53.871341790933414,56.06315083458199,84.71091644886704,38,22
CLPD-128058-2nd,128058,2nd,7500,5min,24.670267084300498,12.11195435666837,50.548789806817396,86.1413752654908,42.94705470297388,51.56083667372011,36.50311859204552,84.10261137999822,62,22
CLPD-128058-2nd,128058,2nd,15000,10min,18.885847046160457,9.798309103966195,36.52442944983289,85.87656072468705,35.97703117650304,51.424418450866106,25.61973125530324,83.8794638146141,85,22
CLPD-128058-2nd,128058,2nd,30000,20min,18.38600680235907,9.589577591165975,35.33090391193242,84.50784054288191,31.457279467427956,51.34230596508795,19.653938684481496,83.3244313016702,97,26
CLPD-128058-2nd,128058,2nd,67750,full,12.259064873458625,7.795782267766134,19.339050832733392,83.16820031976226,21.648682645586874,46.16153621882471,10.360082138984303,82.35067160635772,151,32
CLPD-132831-1st,132831,1st,750,30s,15.260454133863433,5.434594784209451,43.944175572503205,76.36676059116198,29.539329793131042,26.238153298925827,33.896384549658634,77.79107836133208,46,22
CLPD-132831-1st,132831,1st,1500,1min,13.505799154118383,6.5944237903025895,27.94361353512695,75.11786921934727,23.245074836528033,23.283215044358048,23.516801765371817,76.60929473437615,53,22
CLPD-132831-1st,132831,1st,3000,2min,17.965562511892553,10.234288576690284,31.569218730307274,79.19851334605049,23.874315790688737,29.094970670241544,19.795404504020343,77.8886138962382,72,22
CLPD-132831-1st,132831,1st,7500,5min,18.136273728591696,12.173583068580268,27.061034607255625,78.79193842798632,24.51631275756285,33.92100044598869,17.745204689252937,77.96430066463732,90,22
CLPD-132831-1st,132831,1st,15000,10min,14.705433927986375,10.986148627196677,19.688182243639506,79.28419263992035,21.143346482295374,35.733272671151674,12.549576927571099,78.30547607229066,108,22
CLPD-132831-1st,132831,1st,30000,20min,11.7265625432282,9.878545425448438,13.924010410602527,79.41556242455707,18.128343975087972,37.44078386119796,8.814857324095057,78.2763398730156,145,22
CLPD-132831-1st,132831,1st,67775,full,9.920914377194359,9.693979630000676,10.15731296853482,79.03666549648229,16.151286269613465,37.53136189209442,6.9715212711575285,78.13946623918602,240,22
CLPD-132831-2nd,132831,2nd,750,30s,5.842032059870135,1.135187761070581,30.400144176734074,65.72094844661382,51.950104667424014,47.40637167679509,57.09639312141117,79.01563328800279,33,22
CLPD-132831-2nd,132831,2nd,1500,1min,6.601802207624212,1.1913652285866374,36.859463941271954,66.43691595050828,46.730469442436465,44.80490097134341,48.86397988449396,79.54258418181415,46,22
CLPD-132831-2nd,132831,2nd,3000,2min,6.340778828234586,1.1020952137706719,36.756941598805106,65.29147943247463,41.16492370188018,44.71880389463902,38.020577599339354,79.25978316667893,54,22
CLPD-132831-2nd,132831,2nd,7500,5min,4.814260448182322,1.1615431691569766,20.106774548050183,67.2457507412154,28.799692006002108,42.57936505029442,19.610048708758068,78.38594965822836,88,22
CLPD-132831-2nd,132831,2nd,15000,10min,3.7270861415528462,0.9778287896777645,14.447972818782537,67.81504581404943,24.219185680555828,41.82583228001017,14.055865102681922,78.45920169359277,114,22
CLPD-132831-2nd,132831,2nd,30000,20min,3.639690010496383,1.2256248017950977,11.008400970780967,69.12527064728489,23.069610877157228,42.34578022816836,12.583943102464282,78.20654504987495,165,23
